Ecode;TotalECodes;e0;e1;e2;e3;e4
E945.1;27;21;3;3;;
E945.2;150;124;21;2;3;
E945.3;23;22;;1;;
E945.4;121;108;8;3;1;1
E945.5;49;44;4;1;;
E945.6;3;3;;;;
E945.7;141;132;6;2;;1
E945.8;3;3;;;;
E946.0;170;157;10;2;;1
E946.1;22;16;6;;;
E946.2;7;7;;;;
E946.3;30;27;1;1;1;
E946.4;49;48;1;;;
E946.5;83;80;3;;;
E946.6;53;46;6;1;;
E946.7;4;4;;;;
E946.8;55;51;3;1;;
E946.9;35;35;;;;
E947.0;110;106;4;;;
E947.1;1;1;;;;
E947.3;10;9;1;;;
E947.4;3;3;;;;
E947.8;2519;2435;51;24;4;5
E947.9;12664;12479;100;48;17;20
E948.0;5;2;3;;;
E948.1;1;;1;;;
E948.4;44;40;1;2;1;
E948.5;4;3;;;;1
E948.6;43;42;1;;;
E948.8;39;32;7;;;
E948.9;9;6;2;;1;
E949.0;12;2;10;;;
E949.1;1;1;;;;
E949.3;3;2;1;;;
E949.4;15;5;8;2;;
E949.5;8;1;5;1;1;
E949.6;41;35;5;1;;
E949.7;3;2;1;;;
E949.9;241;227;9;4;1;
E950.0;3135;2669;382;71;12;1
E950.1;25;17;7;1;;
E950.2;610;452;125;28;5;
E950.3;3764;3214;472;68;8;2
